00000012,Angel Star (1)
000003DF,Leather Gloves (Sacred)
000003E0,Light Belt (1)
000003E1,Light Belt (2)
000003E2,Light Belt (3)
000003E3,Light Belt (4)
000003E4,Light Belt (Sacred)
000003E5,Light Gauntlets (1)
000003E6,Light Gauntlets (2)
000003E7,Light Gauntlets (3)
000003E8,Light Gauntlets (4)
000003E9,Light Gauntlets (Sacred)
000003EA,Light Plate (1)
000003EB,Light Plate (2)
000003EC,Light Plate (3)
000003ED,Light Plate (4)
000003EE,Light Plate (Sacred)
000003EF,Light Plated Boots (1)
000003F0,Light Plated Boots (2)
000003F1,Light Plated Boots (3)
000003F2,Light Plated Boots (4)
000003F3,Light Plated Boots (Sacred)
000003F4,Mask (1)
000003F5,Mask (2)
000003F6,Mask (3)
000003F7,Mask (4)
000003F8,Mask (Sacred)
000003F9,Morion (1)
000003FA,Morion (2)
000003FB,Morion (3)
000003FC,Morion (4)
000003FD,Morion (Sacred)
000003FE,Parma (1)
000003FF,Parma (2)
00000400,Parma (3)
00000401,Parma (4)
00000402,Parma (Sacred)
00000403,Phoenix Shield (1)
00000404,Phoenix Shield (2)
00000405,Phoenix Shield (3)
00000406,Phoenix Shield (4)
00000407,Phoenix Shield (Sacred)
00000408,Plate Mail (1)
00000409,Plate Mail (2)
0000040A,Plate Mail (3)
0000040B,Plate Mail (4)
0000040C,Plate Mail (Sacred)
0000040D,Plated Belt (1)
0000040E,Plated Belt (2)
0000040F,Plated Belt (3)
00000410,Plated Belt (4)
00000411,Plated Belt (Sacred)
00000412,Preserved Head (1)
00000413,Preserved Head (2)
00000414,Preserved Head (3)
00000415,Preserved Head (4)
00000416,Preserved Head (Sacred)
00000417,Quilted Armor (1)
00000418,Quilted Armor (2)
00000419,Quilted Armor (3)
0000041A,Quilted Armor (4)
0000041B,Quilted Armor (Sacred)
0000041C,Ring Mail (1)
0000041D,Ring Mail (2)
0000041E,Ring Mail (3)
0000041F,Ring Mail (4)
00000420,Ring Mail (Sacred)
00000421,Rondache (1)
00000422,Rondache (2)
00000423,Rondache (3)
00000424,Rondache (4)
00000425,Rondache (Sacred)
00000426,Sash (1)
00000427,Sash (2)
00000428,Sash (3)
00000429,Sash (4)
0000042A,Sash (Sacred)
0000042B,Scale Mail (1)
0000042C,Scale Mail (2)
0000042D,Scale Mail (3)
0000042E,Scale Mail (4)
0000042F,Scale Mail (Sacred)
00000430,Setzschild (1)
00000431,Setzschild (2)
00000432,Setzschild (3)
00000433,Setzschild (4)
00000434,Setzschild (Sacred)
00000435,Skull Cap (1)
00000436,Skull Cap (2)
00000437,Skull Cap (3)
00000438,Skull Cap (4)
00000439,Skull Cap (Sacred)
0000043A,Small Shield (1)
0000043B,Small Shield (2)
0000043C,Small Shield (3)
0000043D,Small Shield (4)
0000043E,Small Shield (Sacred)
0000043F,Spangenhelm (1)
00000440,Spangenhelm (2)
00000441,Spangenhelm (3)
00000442,Spangenhelm (4)
00000443,Spangenhelm (Sacred)
00000444,Spiked Shield (1)
00000445,Spiked Shield (2)
00000446,Spiked Shield (3)
00000447,Spiked Shield (4)
00000448,Spiked Shield (Sacred)
00000449,Spirit Mask (1)
0000044A,Spirit Mask (2)
0000044B,Spirit Mask (3)
0000044C,Spirit Mask (4)
0000044D,Spirit Mask (Sacred)
0000044E,Sprint Mail (1)
0000044F,Sprint Mail (2)
00000450,Sprint Mail (3)
00000451,Sprint Mail (4)
00000452,Sprint Mail (Sacred)
00000454,Studded Leather (1)
00000455,Studded Leather (2)
00000456,Studded Leather (3)
00000457,Studded Leather (4)
00000458,Studded Leather (Sacred)
00000459,Targe (1)
0000045A,Targe (2)
0000045B,Targe (3)
0000045C,Targe (4)
0000045D,Targe (Sacred)
0000045E,Tiara (1)
0000045F,Tiara (2)
00000460,Tiara (3)
00000461,Tiara (4)
00000462,Tiara (Sacred)
00000463,Totem Shield (1)
00000464,Totem Shield (2)
00000465,Totem Shield (3)
00000466,Totem Shield (4)
00000467,Totem Shield (3)
00000468,Totem Shield (2)
00000469,Totem Shield (3)
0000046A,Totem Shield (4)
0000046B,Totem Shield (Sacred)
0000046C,Tower Shield (1)
0000046D,Tower Shield (2)
0000046E,Tower Shield (3)
0000046F,Tower Shield (4)
00000470,Tower Shield (Sacred)
00000471,Unraveller Head (1)
00000472,Unraveller Head (2)
00000473,Unraveller Head (3)
00000474,Unraveller Head (4)
00000475,Unraveller Head (Sacred)
00000476,Wolf Head (1)
00000477,Wolf Head (2)
00000478,Wolf Head (3)
00000479,Wolf Head (4)
0000047A,Wolf Head (Sacred)
0000047B,Zombie Head (1)
0000047C,Zombie Head (2)
0000047D,Zombie Head (3)
0000047E,Zombie Head (4)
0000047F,Zombie Head (Sacred)
00000486,Light Plated Boots (Angelic)
000004B2,Horadric Cube
000004B8,Amulet
000004B9,Ring
000004BA,Jewel
000004C4,Arrow Quiver
000004C5,Bolt Quiver
000004C6,Key
000004C7,Minor Healing Potion
000004CC,Minor Mana Potion
000004D3,Apple
0000053D,Ol Rune
000006BE,Arcane Shards (1)
000006BF,Arcane Shards (2)
000006C0,Arcane Shards (3)
000006C3,Arcane Cluster
000006C4,Catalyst of Learning
000006C5,Catalyst of Disenchantment
000006C6,Catalyst of Jewelcraft
000006FE,Optical Detector
00000700,Visions of Akarat
00000702,Laser Focus Crystal
00000703,The Butcher's Tooth
00000705,Idol of Vanity
00000707,Horazon's Focus
0000070A,Zakarum's Ear
00000711,Sunstone of the Gods
00000715,Legacy of Blood
0000071C,Eye of Divinity
00000728,Sunstone of the Twin Seas
0000079D,Key of Lies
0000079E,Key of Sin
0000080D,Riftwalker's Eye
0000085E,Corrupted Shards (1)
0000085F,Corrupted Shards (2)
00000860,Corrupted Shards (3)
00000861,Corrupted Shards (4)
00000876,Catalyst of Transference
0000070C,Moon of the Spider
00000701,Scroll of Kings
000007A4,The Black Road
0000070B,Spirit Trance Herb
000006FF,Azmodan's Heart
00000704,Sacred Worldstone Key
0000071E,Crystalline Flame Medallion
00000727,Soul of Kabraxis
00000720,Silver Seal of Ureh
0000070D,Eternal Bone Pile
00000723,Demonsbane
0000072A,Umbaru Treasure
000007A9,Weather Control
0000071F,Fool's Gold
00000709,Six Angel Bag
0000072E,Corrupted Wormhole
000007AA,Spirit of Creation
00000722,The Book of Lies
00000721,Astrogha's Venom Stinger
0000072D,Xazax's Illusion
00000871,Bone Chimes
000007A6,Lylia's Curse
00000716,Paragon's Hammer
000007A7,Dragon Claw
000004BB,Relic
00000724,Cold Fusion Schematics
0000072B,The Sleep
0000072C,The Ancient Repositories
00000729,Neutrality Pact
00000730,Books of Kalan
000004CB,Super Healing Potion
